condition,t,eta_eff,R,c_dilute,D_surf,k_ads,k_off_at_L0,n_mt,n_tip_bound,n_escaped,frac_tip_bound,mean_L,max_L,mean_surf,min_surf,escape_index,aster_S,label,color,seed
η=3,1200.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.9210695458323126,2.8778088032232527,51.01857110457929,48.009746208861195,0.0,0.011244711056660885,η=3,#f4a261,44
η=3,1233.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,1.9724621751456908,3.0575803015743954,51.15819025561486,48.16528796112304,0.0,0.011243755449503397,η=3,#f4a261,44
η=3,1266.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.0238670856710916,3.0575803015743954,51.29257743796766,48.304544609484374,0.0,0.011243469404276476,η=3,#f4a261,44
η=3,1300.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.1009461525719475,3.2373923609767425,51.45861635262443,48.460091671441084,0.0,0.011242761554850872,η=3,#f4a261,44
η=3,1333.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.1652035940929992,3.2373923609767425,51.56273780405731,48.56823499242175,0.0,0.011242397197790603,η=3,#f4a261,44
η=3,1366.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.1973405802215775,3.2373923609767425,51.648122208369784,48.639845046993784,0.0,0.011242952474243187,η=3,#f4a261,44
η=3,1400.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.242306417901331,3.2373923609767425,51.76587262721636,48.75437414233336,0.0,0.011241772328497506,η=3,#f4a261,44
η=3,1433.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.293695010398319,3.2373923609767425,51.84812186953106,48.8570354496357,0.0,0.011242081863143984,η=3,#f4a261,44
η=3,1466.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.351523174326173,3.2373923609767425,51.96114726605025,48.95292079392824,0.0,0.011242197793145212,η=3,#f4a261,44
η=3,1500.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.3836392968274036,3.2373923609767425,52.04241075356582,49.02662935208496,0.0,0.011241897443231943,η=3,#f4a261,44
η=3,1533.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.435032923119944,3.237762076574057,52.104233735060696,49.098195227485206,0.0,0.011241114680207335,η=3,#f4a261,44
η=3,1566.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.473573601584214,3.237762076574057,52.19848867579653,49.20070438471174,0.0,0.011241488129968507,η=3,#f4a261,44
η=3,1600.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.5249779225752182,3.237762076574057,52.264474475724086,49.276390652550496,0.0,0.011241851291841087,η=3,#f4a261,44
η=3,1633.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.5442547036517866,3.237907636564577,52.32270936355138,49.318379561439954,0.0,0.011242131395556467,η=3,#f4a261,44
η=3,1666.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.602073423970726,3.417639466054302,52.38690497953021,49.37828293060634,0.0,0.01124226045273048,η=3,#f4a261,44
η=3,1700.0000000000002,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.6341861931372503,3.417639466054302,52.43279832319624,49.44687450223011,0.0,0.011242036888689013,η=3,#f4a261,44
η=3,1733.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.6791543237399944,3.417639466054302,52.48139001687689,49.475031150806245,0.0,0.011242169474874717,η=3,#f4a261,44
η=3,1766.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.75623609939037,3.4183430959214824,52.55870392006003,49.55614005214882,0.0,0.011242142942460323,η=3,#f4a261,44
η=3,1800.0000000000002,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.7755123125236567,3.4183430959214824,52.57849895396621,49.579517794279504,0.0,0.011242280373906652,η=3,#f4a261,44
η=3,1833.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.8076325355436045,3.597610221737431,52.61981681777452,49.62533265386063,0.0,0.01124200255710347,η=3,#f4a261,44
η=3,1866.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.8718801341625926,3.597610221737431,52.652007371026976,49.62034747943208,0.0,0.011242886618335082,η=3,#f4a261,44
η=3,1900.0000000000002,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.9425431336885537,3.777575708075659,52.68007394232501,49.70332404122239,0.0,0.011243241157680385,η=3,#f4a261,44
η=3,1933.3333333333335,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,2.9811069948477287,3.7777995939297058,52.71179469403796,49.68422383473422,0.0,0.011244339132896542,η=3,#f4a261,44
η=3,1966.6666666666667,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,3.0260777780495474,3.7777995939297058,52.743226134114614,49.73090775666935,0.0,0.011243727698511853,η=3,#f4a261,44
η=3,2000.0,3.0,8.0,10.0,0.3333333333333333,0.0021875,8.574626557890533e-06,28,28,0,1.0,3.0710579697513496,3.7777995939297058,52.76990940900592,49.76328869603009,0.0,0.011243998271266915,η=3,#f4a261,44
η=10,0.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,1,1,0,1.0,0.17995700505875437,0.17995700505875437,33.459473229803336,25.464473229803346,0.0,0.011247312810553653,η=10,#c0392b,42
η=10,33.333333333333336,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,1,1,0,1.0,0.17995700505875437,0.17995700505875437,33.459473229803336,25.464473229803346,0.0,0.011247312810553653,η=10,#c0392b,42
η=10,66.66666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,1,1,0,1.0,0.17995700505875437,0.17995700505875437,33.459473229803336,25.464473229803346,0.0,0.011247312810553653,η=10,#c0392b,42
η=10,100.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,1,1,0,1.0,0.17995700505875437,0.17995700505875437,33.459473229803336,25.464473229803346,0.0,0.011247312810553653,η=10,#c0392b,42
η=10,133.33333333333334,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,1,1,0,1.0,0.17995700505875437,0.17995700505875437,33.459473229803336,25.464473229803346,0.0,0.011247312810553653,η=10,#c0392b,42
η=10,166.66666666666669,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,1,1,0,1.0,0.17995700505875437,0.17995700505875437,33.459473229803336,25.464473229803346,0.0,0.011247312810553653,η=10,#c0392b,42
η=10,200.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,3,3,0,1.0,0.17994230670775815,0.1799799043004151,34.962985406664636,26.947017393673008,0.0,0.011246394163613824,η=10,#c0392b,42
η=10,233.33333333333334,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,8,8,0,1.0,0.17996157596692747,0.18000901368238173,36.29637867598162,28.300585521521015,0.0,0.011247598492314513,η=10,#c0392b,42
η=10,266.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,12,12,0,1.0,0.17994866620011804,0.18000901368238173,37.97051992884969,29.977704368137836,0.0,0.01124679163188965,η=10,#c0392b,42
η=10,300.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,14,14,0,1.0,0.179951697113526,0.18001028301179325,38.05580829091333,30.091981683186255,0.0,0.011246981063977268,η=10,#c0392b,42
η=10,333.33333333333337,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,17,17,0,1.0,0.19051213331981745,0.35943069735841,39.32380811240331,31.330647382840702,0.0,0.011245302019606851,η=10,#c0392b,42
η=10,366.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,19,19,0,1.0,0.20833920880296447,0.3599579614506625,40.442593250177055,37.463166765343146,0.0,0.01124526498807508,η=10,#c0392b,42
η=10,400.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,22,22,0,1.0,0.22081375305971254,0.3599579614506625,41.11763803099929,33.16540910906013,0.0,0.011244768589794217,η=10,#c0392b,42
η=10,433.33333333333337,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.23774225119917367,0.5398199587996964,41.932188670784086,33.970894925781806,0.0,0.011244613042219461,η=10,#c0392b,42
η=10,466.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.25701372871533296,0.7197029796733714,42.7038700653647,39.67885068280394,0.0,0.011244423929487409,η=10,#c0392b,42
η=10,500.00000000000006,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.26343811124428285,0.7197029796733714,43.55514241934144,40.551937385351344,0.0,0.011244388936886274,η=10,#c0392b,42
η=10,533.3333333333334,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.2891360434662377,0.7197029796733714,44.215244358821764,41.15873928140262,0.0,0.011244013110242616,η=10,#c0392b,42
η=10,566.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.2955650182078725,0.7197029796733714,45.53075233161335,42.521356795894114,0.0,0.011244333549393595,η=10,#c0392b,42
η=10,600.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.2955650182078725,0.7197029796733714,45.53075233161335,42.521356795894114,0.0,0.011244333549393595,η=10,#c0392b,42
η=10,633.3333333333334,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.3084123368369796,0.7197029796733714,45.897175164849685,42.90488955374553,0.0,0.011243749940307185,η=10,#c0392b,42
η=10,666.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.32125915146540446,0.7197029796733714,46.48324917138745,43.48171402276158,0.0,0.011243847923109913,η=10,#c0392b,42
η=10,700.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.3405212141914508,0.8993515820700266,46.980937986063445,43.981520486929924,0.0,0.011243158999575589,η=10,#c0392b,42
η=10,733.3333333333334,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.3469443699810406,0.8993515820700266,47.593414612662315,44.59759512322256,0.0,0.011242816494037014,η=10,#c0392b,42
η=10,766.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.3662191959261545,0.8993515820700266,47.85148980040358,44.85148516833493,0.0,0.011243200981205114,η=10,#c0392b,42
η=10,800.0,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.3790722787474004,0.8995117420275788,48.18748892509802,45.193932586548755,0.0,0.011244158417643074,η=10,#c0392b,42
η=10,833.3333333333334,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.3983433279402586,0.8995117420275788,48.70203083168164,45.69785623390535,0.0,0.01124451455220328,η=10,#c0392b,42
η=10,866.6666666666667,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.4047658395353375,0.8995117420275788,48.8552054237518,45.85497065901982,0.0,0.011244110605544174,η=10,#c0392b,42
η=10,900.0000000000001,10.0,8.0,10.0,0.1,0.0021875,7.819047319505173e-09,28,28,0,1.0,0.4304757654287297,0.89965256466391,49.1747365140238,46.15168384367633,0.0,0.011244443199073962,η=10,#c0392b,42
